"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Funding Details","Editors","Publisher","PubMed ID","Document Type","Publication Stage","Open Access","Source","EID"
"Fanaras K.; Antoniadis C.; Massoud Y.","Fanaras, Konstantinos (57726546500); Antoniadis, Charalampos (39860892200); Massoud, Yehia (14018366500)","57726546500; 39860892200; 14018366500","Enhanced sgRNA On-Target Cleavage Efficacy Prediction using Conditional GANs","2023","Proceedings - IEEE International Symposium on Circuits and Systems","2023-May","","","","","4","10.1109/ISCAS46773.2023.10181826","https://www.scopus.com/pages/publications/85167681964?origin=resultslist","The wide usage of the Clustered Regularly Inter-spaced Short Palindromic Repeats associated with the Cas9 enzyme (CRISPR/Cas9) system, which is one of the latest genome-editing methods, has shed light on pathways that were inconceivable before, from enhancing fruit nutrition to treating incurable diseases. The precise prediction of single guide RNA (sgRNA) on-target knockout efficacy poses a substantial challenge to the practical application of CRISPR/Cas9 systems. Although many Machine Learning (ML)-based techniques have yielded encouraging results, prediction accuracy still needs improvement. CRISPR/Cas9 datasets do not contain many examples for training the models. Generative Adversarial Networks (GAN)s are good at learning a model for generating new training data given a dataset. This work proposes a novel Machine Learning model that combines Convolutional Neural Networks and conditional GANs (coGAN)s to predict sgRNA on-target knockout efficacy. Experimental results showed that the proposed model could outperform other models proposed in the literature in regression and classification tasks for predicting the on-target sgRNA cleavage efficacy in CRISPR/Cas9 systems. © 2023 IEEE.","CNN; Conditional GANs; CRISPR/Cas9; sgRNA","Convolutional neural networks; Generative adversarial networks; Clustered regularly inter-spaced short palindromic repeat associated with the cas9 enzyme; Conditional GAN; Enzyme systems; Incurable disease; Machine learning models; Machine-learning; Palindromic; Prediction accuracy; Single guide RNA; Training data; Forecasting","","","Institute of Electrical and Electronics Engineers Inc.","","Conference paper","Final","","Scopus","2-s2.0-85167681964"
"Li W.; Fan X.; Zeng H.; Wang Y.","Li, Wenlu (57191110738); Fan, Xinwei (60079074400); Zeng, Hong (57205348578); Wang, Yanbo (9038019100)","57191110738; 60079074400; 57205348578; 9038019100","Decoding the aroma signature of Jinhua ham: Flavoromics-driven machine learning models for age-discrimination with hardware implementation","2025","Food Research International","221","","117418","","","3","10.1016/j.foodres.2025.117418","https://www.scopus.com/pages/publications/105014614456?origin=resultslist","Jinhua ham, a geographical indication agriculture product in China, possesses exquisite flavor during fermentation. Three-year Jinhua ham is highly valued for superior flavor and nutrition, but current age-discrimination relies on the experience of workers, leaving high adulteration risks. In this study, Gas Chromatography-Mass Spectrometry (GC–MS) and Gas Chromatography-Ion Mobility Spectrometry (GC-IMS) were adopted to analyze the differences of flavor compounds in Jinhua ham aged for 0.5, 1, 2 and 3 years. Fifty-four aroma-active compounds were identified through OAV ≥ 1 from Jinhua ham with different ages, with the flavor changing from mushroom to citrus/grassy/buttery, then nutty, and finally to dominant coconut, peach, and floral-fatty notes. And 18 key discriminative compounds were screened out through plotted compounds content distribution. Further, 1-octen-3-ol and decanoic acid were found applicable for discriminating the age of ham based on the scatter plot and SHAP value. Then, four age-discriminating machine-learning models (LR, SVM, NB, and DT) were constructed and exhibited high accuracy, with the highest reaching 100 %. Especially, a portable ham quality evaluation circuit was constructed based on the DT classification models due to its good generalization ability and concise structure. This study provides a theoretical basis for accurately predicting ages of Jinhua ham by GC–MS with machine learning. © 2025 Elsevier Ltd","Age-discrimination; Flavor; GC–MS; Jinhua ham; Machine learning","Animals; China; Fermentation; Flavoring Agents; Gas Chromatography-Mass Spectrometry; Ion Mobility Spectrometry; Machine Learning; Meat Products; Odorants; Swine; Taste; Volatile Organic Compounds; Agricultural machinery; Citrus fruits; Discriminators; Flavor compounds; Fragrances; Ion chromatography; Learning systems; Machine learning; Mass spectrometry; Odors; Quality control; Chinese drug; jinhua ham; unclassified drug; flavoring agent; fragrance; volatile organic compound; 'current; Age discrimination; Agriculture products; Gaschromatography-mass spectrometry; Hardware implementations; Ion mobility spectrometry; Jinhua ham; Machine learning models; Machine-learning; Workers'; ageism; aroma; aroma signature; Article; Chinese medicine; digital transformation; drug sensitivity; flavor; gas chromatography; hardware implementation; high performance liquid chromatography; ion mobility spectrometry; ion mobility spectrometry-mass spectrometry; limit of detection; machine learning; mass spectrometry; nonhuman; support vector machine; animal; China; fermentation; mass fragmentography; meat; pig; taste; Gas chromatography","National Key Research and Development Program of China, NKRDPC, (2023YFD210010302); National Key Research and Development Program of China, NKRDPC","","Elsevier Ltd","41214929","Article","Final","","Scopus","2-s2.0-105014614456"
"Ingawale K.; Kalle S.; Raval V.; Khambalkar C.; Kadam G.","Ingawale, Kiran (60525066700); Kalle, Shivaani (60525749400); Raval, Veera (57224441396); Khambalkar, Chhayadevi (57223919877); Kadam, Gajanan (60525976100)","60525066700; 60525749400; 57224441396; 57223919877; 60525976100","Advances Smart Quality Assessment in Jaggery Powder Production Using IoT and Machine Learning- A Review","2025","2025 International Conference on Future Technologies, ICFT 2025","","","","","","0","10.1109/ICFT66708.2025.11336394","https://www.scopus.com/pages/publications/105033680497?origin=resultslist","Jaggery powder is a natural, unprocessed sweetener produced by evaporating sugarcane juice, and it is widely consumed due to its rich nutritional profile, including minerals such as calcium, iron, antioxidants and magnesium's. It is especially popular in semi-urban and rural markets across Asia and Africa and is increasingly gaining grip in global health-conscious food markets. However, despite its increasing demand, the jaggery production industry remains largely conventional, depending heavily on manual methods for boiling, extraction, drying and clarification. These hand operated processes often lead to significant differences in product quality, including variability in texture, color, moisture content, granulation, and purity. Moreover, the absence of standardized quality control mechanisms can result in health and safety concerns such as microbial contamination, adulteration with chemicals, and inefficient drying, which affects shelf life. To address these challenges, this research investigates a novel approach to embed real-time, non-invasive quality assessment technologies into the jaggery powder production process. We explore the application of smart technologies such as Internet of Things (IoT) sensors for continuous environmental and process monitoring, computer vision systems for visual grading of granule size and color, near-infrared (NIR) spectroscopy for chemical composition analysis, and machine learning (ML) algorithms for automated classification and prediction of quality parameters. This integrated, data-driven framework allows producers to monitor critical quality metrics at every stage from sugarcane juice extraction to drying and packaging and enabling immediate feedback and adaptive control measures. The proposed smart jaggery production system ensures enhanced traceability, better standardization across batches, and compliance with food safety standards. Preliminary Pilot testing conducted in a small-scale jaggery unit using 500 samples demonstrated significant improvements: CNN-based visual grading achieved 93% accuracy, NIR-assisted ML models predicted moisture Content with an RMSE of 0.38% and impurity detection reached 89% precision. These findings confirm the effectiveness and scalability of the proposed IoT ML framework for delivering safer and higher-quality jaggery powder for both domestic and international markets. © 2025 IEEE.","Agro-Processing Automation; Assessment; Computer Vision; IOT; Jaggery Powder; Machine Learning; NIR Spectroscopy; Quality; Sensors","Agriculture; Chemical contamination; Drying; Environmental technology; Food safety; Fruit juices; Granulation; Intelligent control; International trade; Learning algorithms; Learning systems; Machine learning; Moisture; Moisture determination; Nutrition; Process control; Safety testing; Statistics; Agro-processing; Agro-processing automation; Assessment; Infrared: spectroscopy; IOT; Jaggery powder; Machine-learning; Near Infrared; Near-infrared; Quality; Computer vision; Image quality","","","Institute of Electrical and Electronics Engineers Inc.","","Conference paper","Final","","Scopus","2-s2.0-105033680497"
"Bhagirath S.N.; Bhatnagar V.; Raja L.","Bhagirath, Swami Nisha (57402206100); Bhatnagar, Vaibhav (57208904701); Raja, Linesh (57202087759)","57402206100; 57208904701; 57202087759","Prediction of Nitrogen Deficiency in Paddy Leaves Using Convolutional Neural Network Model","2023","Lecture Notes in Networks and Systems","653 LNNS","","","711","718","2","10.1007/978-981-99-0981-0_54","https://www.scopus.com/pages/publications/85164954163?origin=resultslist","At various stages of development, including flowering and fruit production, plants need a variety of minerals and nutrients to grow. The phenotype, quality, and yield of crops are all influenced by the nitrogen level in precision agriculture. In the future, it won’t be possible to achieve without the application of nitrogen fertilizer. A useful and cutting edge technique for diagnosing the nitrogen nutrition of crops is needed for an effective and appropriate nitrogen fertilizer management system. Plant diseases that have a substantial impact on agricultural output are brought on by nutrient deficiency. Rice producers can reduce output loss significantly by taking essential measures with the help of early disease identification. Deep learning, an effective machine learning method, has recently demonstrated considerable potential in the task of classifying images. The convolutional neural network has been trained after classification of the affected leaf regions. In this study, the lack of nitrogen in the paddy crop was identified and predicted using leaf data. The model achieved 95% of accuracy for identifying nitrogen deficiency in leaves from available dataset. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Augmentation; Convolutional neural network; DenseNet; Rice diseases","Convolution; Convolutional neural networks; Deep learning; Diagnosis; Learning systems; Nitrogen fertilizers; Nutrients; Plants (botany); Augmentation; Convolutional neural network; Densenet; Fruit production; Neural network model; Nitrogen deficiency; Nitrogen levels; Precision Agriculture; Production plant; Rice disease; Crops","","Das S.; Saha S.; Coello Coello C.A.; Bansal J.C.","Springer Science and Business Media Deutschland GmbH","","Conference paper","Final","","Scopus","2-s2.0-85164954163"
"Divya Shree B.; Brunda R.; Shobha Rani N.","Divya Shree, B. (57207198695); Brunda, R. (57204878128); Shobha Rani, N. (58037456400)","57207198695; 57204878128; 58037456400","Fruit detection from images and displaying its nutrition value using deep alex network","2019","Advances in Intelligent Systems and Computing","898","","","599","608","11","10.1007/978-981-13-3393-4_61","https://www.scopus.com/pages/publications/85062296870?origin=resultslist","This paper presents a simple and efficient approach to perform fruit detection and predict nutrition information of the fruits using deep Alex networks (DAN). The datasets employed for analysis are acquired from fruit 360 database of image processing challenges. Fruit categories include apples, berries, banana, grape, papaya, peach, avocado, and multiple flavors of apple. And also, the experimentations are carried out on various other fruit samples collected from multiple Web repositories. The network architecture is as usual comprised of to five convolution layers and three fully connected layers including the max pooling, RELU layers. The input images are assumed to be of dimensions 227 × 227 × 3 with number of filters of 96 of size 11 × 11 × 3 with a stride length of 4. The results of experiment prove that fruit detection using DAN is efficient with an accuracy of about 91% to classify the fruits of about 50 different categories on a single machine of configurations 1 GPU, 8 GB RAM, and octa-core processor. © Springer Nature Singapore Pte Ltd. 2019.","Convolution neural networks; Deep learning; Fruit image classification; Nutrition prediction; Object recognition","Convolution; Deep learning; Network architecture; Nutrition; Object recognition; Soft computing; Convolution neural network; Core processors; Fruit samples; Nutrition informations; Nutrition value; Single- machines; Stride length; Web repositories; Fruits","","Wang J.; Reddy V.S.; Mohana Reddy G.R.; Prasad V.K.","Springer Verlag","","Conference paper","Final","","Scopus","2-s2.0-85062296870"
"Yang Y.; Zhang S.-J.; He Y.","Yang, Yi (57192552156); Zhang, Shu-Juan (55713445000); He, Yong (36079131500)","57192552156; 55713445000; 36079131500","Dynamic detection of fresh jujube based on ELM and visible/near infrared spectra","2015","Guang Pu Xue Yu Guang Pu Fen Xi/Spectroscopy and Spectral Analysis","35","7","","1870","1874","13","10.3964/j.issn.1000-0593(2015)07-1870-05","https://www.scopus.com/pages/publications/84938241656?origin=resultslist","Jujube was rich in nutrition and variety. In different varieties, there were very different from the market price to the qualities of internal and external. In order to realize the rapid and non-destructive detection of fresh jujubes' classification, Ban jujube, Jixin jujube and Xiang jujube were selected as research objects to collect their visible/near infrared spectral data dynamically. A combination of Moving Smoothing and Multiplicative Scatter Correction (MSC) was applied as the pretreatment method. After the pretreatment, the characteristic wavelengths extracted by Successive Projections Algorithm (SPA) were 980 nm, 1 860, 1 341, 1 386, 2 096, 1 831, 1 910, 1 628, 441, 768 and 601 nm, respectively. And the importance reduced in accordance with the order. The 11 characteristic wavelengths were adopted as input variable to established Extreme Learning Machine (ELM) classification model, which was used for prediction. Comparing the ELM model's classification accuracy with other methods' classification accuracy such as Partial Least Squares Discriminant Analysis (PLS-DA) and Least Squares Support Vector Machines (LS-SVM), the result indicated that: the R2 and the RMSEC of the SPA-ELM model was 0.972 38 and 0.0187 24, respectively. The classification accuracy of the SPA-ELM model was 100% as good as the SPA-PLS-DA and SPA-LS-SVM. ELM was an effective classification method. This study provides a new theoretical basis for detection of fresh jujubes' classification. ©, 2015, Science Press. All right reserved.","Detection; ELM; Fresh jujube; LS-SVM; PLS-DA; SPA","Algorithms; Discriminant Analysis; Food Analysis; Food Quality; Fruit; Least-Squares Analysis; Machine Learning; Models, Theoretical; Spectroscopy, Near-Infrared; Support Vector Machine; Ziziphus; Discriminant analysis; Error detection; Learning systems; Least squares approximations; Extreme learning machine; Fresh jujube; Least squares support vector machines; LS-SVM; Multiplicative scatter correction; Partial least squares discriminant analyses (PLSDA); PLS-DA; Successive projections algorithms (SPA); algorithm; discriminant analysis; food analysis; food quality; fruit; machine learning; near infrared spectroscopy; procedures; regression analysis; support vector machine; theoretical model; Ziziphus; Support vector machines","","","Science Press","26717742","Article","Final","","Scopus","2-s2.0-84938241656"
"Haque A.U.; Al Haque M.A.; Alabduladheem A.; Al Mulla A.; Almulhim N.; Srinivasagan R.","Haque, Asrar U. (7102814270); Al Haque, Mohammad Akeef (59985734500); Alabduladheem, Abdulrahman (59986032700); Al Mulla, Abubakr (59986186700); Almulhim, Nasser (56149590000); Srinivasagan, Ramasamy (57972081600)","7102814270; 59985734500; 59986032700; 59986186700; 56149590000; 57972081600","Machine Learning-Based Shelf Life Estimator for Dates Using a Multichannel Gas Sensor: Enhancing Food Security","2025","Sensors","25","13","4063","","","6","10.3390/s25134063","https://www.scopus.com/pages/publications/105010320352?origin=resultslist","Highlights: What are the main findings? A low-cost IoT system combining multichannel gas sensors and a TinyML model was developed for the real-time shelf life prediction of dates. The deployed model achieved 91.9% classification accuracy and an AUC of 0.98 using data collected under cold storage and ambient conditions. What are the implications of the main findings? Unlike traditional visual inspection methods, this system offers a scalable and objective solution for early spoilage detection. This system contributes to improved cold storage decision-making, reducing postharvest losses and enhancing food supply chain resilience. It is a well-known fact that proper nutrition is essential for human beings to live healthy lives. For thousands of years, it has been considered that dates are one of the best nutrient providers. To have better-quality dates and to enhance the shelf life of dates, it is vital to preserve dates in optimal conditions that contribute to food security. Hence, it is crucial to know the shelf life of different types of dates. In current practice, shelf life assessment is typically based on manual visual inspection, which is subjective, error-prone, and requires considerable expertise, making it difficult to scale across large storage facilities. Traditional cold storage systems, whilst being capable of monitoring temperature and humidity, lack the intelligence to detect spoilage or predict shelf life in real-time. In this study, we present a novel IoT-based shelf life estimation system that integrates multichannel gas sensors and a lightweight machine learning model deployed on an edge device. Unlike prior approaches, our system captures the real-time emissions of spoilage-related gases (methane, nitrogen dioxide, and carbon monoxide) along with environmental data to classify the freshness of date fruits. The model achieved a classification accuracy of 91.9% and an AUC of 0.98 and was successfully deployed on an Arduino Nano 33 BLE Sense board. This solution offers a low-cost, scalable, and objective method for real-time shelf life prediction. This significantly improves reliability and reduces postharvest losses in the date supply chain. © 2025 by the authors.","cold storage room (CSR); dates; DHT11 sensor; edge impulse; food security; gas concentrations; IoT; machine learning (ML); multichannel gas sensor; relative humidity (RH); shelf life","Food Security; Food Storage; Gases; Humans; Machine Learning; Chemical sensors; Cold storage; Costs; Digital storage; Food security; Food storage; Food supply; Fruits; Gases; Inspection; Learning systems; Machine learning; Nutrition; Shelf life; Spoilage; Supply chains; Uncertainty analysis; Cold storage room; Cold storage rooms; Date; DHT11 sensor; Edge impulse; Food security; Gas concentration; Gas-sensors; IoT; Machine learning; Machine-learning; Multi channel; Multichannel gas sensor; Relative humidity; Shelf life; food security; food storage; gas; human; machine learning; Carbon monoxide","Vice Presidency for Graduate Studies and Scientific Research; Deanship of Scientific Research, King Faisal University, DSR, KFU; King Faisal University, KFU, (KFU251181)","","Multidisciplinary Digital Publishing Institute (MDPI)","40648319","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105010320352"
"Srivastava A.K.; Dattatray Huchche A.; Parent L.-E.; Malhotra S.K.; Ziogas V.; Baishya L.K.","Srivastava, Anoop Kumar (55241579200); Dattatray Huchche, Ambadas (6506173946); Parent, Leon-Etienne (7004560398); Malhotra, Suresh Kumar (56672419900); Ziogas, Vasileios (35221000400); Baishya, Lohit Kumar (37121578900)","55241579200; 6506173946; 7004560398; 56672419900; 35221000400; 37121578900","Nutrient Balance of Citrus Across the Mandarin Belts of India","2025","Horticulturae","11","3","254","","","2","10.3390/horticulturae11030254","https://www.scopus.com/pages/publications/105001141896?origin=resultslist","India is a major producer of mandarin oranges. However, the average fruit yield remains below potential due in part to multiple nutrient deficiencies. Our objective was to elaborate compositional nutrient diagnosis (CND) log-ratio standards accounting for nutrient interactions and the dilution the leaf tissue. We hypothesized that equally or unequally weighted dual nutrient log ratios integrated into centered log ratios (clr) or weighted log ratios (wlr) influence the accuracy of the CND diagnosis. The database comprised 494 observations on ‘Nagpur’, ‘Khasi’, and ‘Kinnow’ cultivars surveyed in contrasting agroecosystems of India. Weights were provided by gain ratios that indicated the importance of the dual log ratio on crop performance. The cutoff yield was set at the upper high-yield quarter for each variety. Centered log ratios (clrs) and weighted log ratios (wlrs) returned accuracies of 0.7–0.8 depending on the machine learning classification model. The gain ratios were not contrasted enough to make a difference between clr and wlr. We derived clr and wlr nutrient standards following the Gradient Boosting model. In a case study, the clr and wlr returned similar diagnoses. The capacity of clr and wlr to generalize to unseen cases and correct nutrient imbalance should be further verified in fertilizer trials. The diagnosis could also be conducted at a local scale, thanks to the Euclidian geometry and additivity of clr and wlr variables. © 2025 by the authors.","centered log ratio; citrus; compositional data analysis; India; machine learning; mineral nutrition; tissue nutrient diagnosis; weighted log ratio","","","","Multidisciplinary Digital Publishing Institute (MDPI)","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105001141896"
"Côté M.; Osseni M.A.; Brassard D.; Carbonneau É.; Robitaille J.; Vohl M.-C.; Lemieux S.; Laviolette F.; Lamarche B.","Côté, Mélina (57212531893); Osseni, Mazid Abiodoun (56080055200); Brassard, Didier (57192093446); Carbonneau, Élise (56674721500); Robitaille, Julie (6701529064); Vohl, Marie-Claude (7006725579); Lemieux, Simone (57226210943); Laviolette, François (12140687300); Lamarche, Benoît (57208074016)","57212531893; 56080055200; 57192093446; 56674721500; 6701529064; 7006725579; 57226210943; 12140687300; 57208074016","Are Machine Learning Algorithms More Accurate in Predicting Vegetable and Fruit Consumption Than Traditional Statistical Models? An Exploratory Analysis","2022","Frontiers in Nutrition","9","","740898","","","14","10.3389/fnut.2022.740898","https://www.scopus.com/pages/publications/85125848122?origin=resultslist","Machine learning (ML) algorithms may help better understand the complex interactions among factors that influence dietary choices and behaviors. The aim of this study was to explore whether ML algorithms are more accurate than traditional statistical models in predicting vegetable and fruit (VF) consumption. A large array of features (2,452 features from 525 variables) encompassing individual and environmental information related to dietary habits and food choices in a sample of 1,147 French-speaking adult men and women was used for the purpose of this study. Adequate VF consumption, which was defined as 5 servings/d or more, was measured by averaging data from three web-based 24 h recalls and used as the outcome to predict. Nine classification ML algorithms were compared to two traditional statistical predictive models, logistic regression and penalized regression (Lasso). The performance of the predictive ML algorithms was tested after the implementation of adjustments, including normalizing the data, as well as in a series of sensitivity analyses such as using VF consumption obtained from a web-based food frequency questionnaire (wFFQ) and applying a feature selection algorithm in an attempt to reduce overfitting. Logistic regression and Lasso predicted adequate VF consumption with an accuracy of 0.64 (95% confidence interval [CI]: 0.58–0.70) and 0.64 (95%CI: 0.60–0.68) respectively. Among the ML algorithms tested, the most accurate algorithms to predict adequate VF consumption were the support vector machine (SVM) with either a radial basis kernel or a sigmoid kernel, both with an accuracy of 0.65 (95%CI: 0.59–0.71). The least accurate ML algorithm was the SVM with a linear kernel with an accuracy of 0.55 (95%CI: 0.49–0.61). Using dietary intake data from the wFFQ and applying a feature selection algorithm had little to no impact on the performance of the algorithms. In summary, ML algorithms and traditional statistical models predicted adequate VF consumption with similar accuracies among adults. These results suggest that additional research is needed to explore further the true potential of ML in predicting dietary behaviours that are determined by complex interactions among several individual, social and environmental factors. Copyright © 2022 Côté, Osseni, Brassard, Carbonneau, Robitaille, Vohl, Lemieux, Laviolette and Lamarche.","artificial intelligence; dietary behaviour; machine learning; nutrition; prediction; statistical models","","Fonds de Recherche du Québec - Santé, FRQS","","Frontiers Media S.A.","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85125848122"
"Zhou Y.; Zhang M.; Huang J.; Law C.L.","Zhou, Yaxin (60033675700); Zhang, Min (36047275100); Huang, Jinjin (58476568900); Law, Chung Lim (8313433800)","60033675700; 36047275100; 58476568900; 8313433800","AI-based smart pretreatment of fresh fruits and vegetables before processing: Research progress and application prospects","2025","Food Research International","221","","117175","","","6","10.1016/j.foodres.2025.117175","https://www.scopus.com/pages/publications/105012894129?origin=resultslist","Pretreatment of fruits and vegetables (F&V) is a crucial step in processing, and it directly affects the quality, taste, nutrition retention and production efficiency of subsequent processed products. Traditional pretreatment technology for F&V mostly relies on manual experience and simple mechanical operations, leading to problems such as low efficiency and difficult to guarantee accuracy. Integrating artificial intelligence (AI) into F&V pretreatment is anticipated to overcome the limitations of traditional technology. This paper introduces several major AI technologies, such as machine learning (ML), deep learning (DL), and artificial neural networks (ANN), as well as their related application scenarios, such as computer vision system (CVS) and electronic nose (E-nose). And it reviews the research progress and application prospect of AI in the pretreatment for F&V, such as sorting, grading, cleaning, peeling, cutting, color protection, blanching. At present, AI technology can realize automatic sorting, accurate identification of F&V defects, and prediction and optimization of related parameters. These fully demonstrate the application potential of AI in F&V processing. In the future, as multidisciplinary integration deepens, AI is expected to realize the automatic control of pre-processing integration, thereby promoting the intelligent advancement of F&V processing industry. This study provides theoretical basis and practical reference for further exploring the application of AI in F&V processing pretreatment. © 2025 Elsevier Ltd","Artificial intelligence; Blanching; Classification; Cleaning; Color protection; Cutting; Peeling","Artificial Intelligence; Deep Learning; Electronic Nose; Food Handling; Fruit; Machine Learning; Neural Networks, Computer; Vegetables; Automation; Computer vision; Deep learning; Electronic nose; Fruits; Grading; Learning systems; Neural networks; Screening; Sorting; Thermal processing (foods); Vegetables; Application prospect; Artificial intelligence technologies; Color protection; Fresh fruit and vegetables; Fruit and vegetables; Pre-treatments; Pretreatment technology; Processed products; Production efficiency; Retention efficiencies; accuracy; Article; artificial intelligence; artificial neural network; classification; cleaning; color; computer vision; controlled study; decision making; deep learning; food processing; fruit; machine learning; nonhuman; principal component analysis; quality control; shelf life; supply chain management; support vector machine; taste; vegetable; chemistry; electronic nose; food handling; procedures; Classification (of information); Cutting","Fundamental Research Funds for the Central Universities, (JUSRP202416005); Fundamental Research Funds for the Central Universities; Jiangsu Province(China) Science and Technology Plan Special Fund Project, (BZ2024026)","","Elsevier Ltd","41606923","Article","Final","","Scopus","2-s2.0-105012894129"
"Agrawal K.; Kumar N.","Agrawal, Kushagra (58669364400); Kumar, Navneet (55220040100)","58669364400; 55220040100","Artificial Intelligence Innovations: Inception of new horizons in food processing sector","2023","Conference Proceedings - 2023 IEEE Silchar Subsection Conference, SILCON 2023","","","","","","11","10.1109/SILCON59133.2023.10404183","https://www.scopus.com/pages/publications/85185710362?origin=resultslist","Artificial Intelligence (AI) has become a driving force in the food industry, revolutionizing food processing, distribution, and consumption. This research article explores the transformative role of AI in addressing the challenges of growing global food demand while striving for sustainability. The article highlights AI's impact on optimizing food production and distribution through data-driven decision-making and workforce analytics. AI-driven insights enable improved product quality, safety, and forecasting, contributing to a more efficient and innovative food sector. Various fields of AI, including machine learning, natural language processing, deep learning, robotics, vision and fuzzy logic, have reshaped food processing practices. Machine learning enhances agricultural productivity, quality control, and personalized nutrition recommendations. Computer vision systems ensure quality assessment and defect identification in food products. The article explores AI applications in beverage production, hot beverages, sorting and classification of fruits, dairy industry, 3D printing, bakeries, and restaurants, enhancing production efficiency and customer experiences. The article also discusses upon guidelines for selecting appropriate AI techniques consider research complexity, data availability, and algorithm performance, aiding researchers and practitioners in choosing suitable AI solutions. Despite remarkable advancements, AI faces challenges such as the absence of human intuition, data dependencies, and initial implementation costs. Continued research and collaboration are crucial to fully harness AI's potential for building a resilient and technologically advanced food sector. Embracing AI-driven solutions, the food industry can lead towards a sustainable and efficient future. © 2023 IEEE.","Artificial Intelligence; Food Processing; Machine Learning; Quality Control","3D printing; Beverages; Decision making; Deep learning; Food processing; Fuzzy logic; Learning systems; Natural language processing systems; Processed foods; Production efficiency; Refining; Data driven decision; Decisions makings; Driving forces; Food consumption; Food demand; Food distribution; Food industries; Food production; Food sector; Machine-learning; Quality control","","","Institute of Electrical and Electronics Engineers Inc.","","Conference paper","Final","","Scopus","2-s2.0-85185710362"
"Esfandiari Fard S.; Ghosh T.; Sazonov E.","Esfandiari Fard, Siavash (60143593600); Ghosh, Tonmoy (56926130000); Sazonov, Edward (6506712112)","60143593600; 56926130000; 6506712112","Multi-Task NoisyViT for Enhanced Fruit and Vegetable Freshness Detection and Type Classification","2025","Sensors","25","19","5955","","","6","10.3390/s25195955","https://www.scopus.com/pages/publications/105018892595?origin=resultslist","Freshness is a critical indicator of fruit and vegetable quality, directly affecting nutrition, taste, safety, and reducing waste across supply chains. Accurate detection is essential for quality control, supporting producers during harvesting and storage, and guiding consumers in purchasing decisions. Traditional manual assessment methods remain subjective, labor-intensive, and susceptible to inconsistencies, highlighting the need for automated, efficient, and scalable solutions, such as the use of imaging sensors and Artificial Intelligence (AI). In this study, the efficacy of the Noisy Vision Transformer (NoisyViT) model was evaluated for fruit and vegetable freshness detection from images. Across five publicly available datasets, the model achieved accuracies exceeding 97% (99.85%, 97.98%, 99.01%, 99.77%, and 98.96%). To enhance generalization, these five datasets were merged into a unified dataset encompassing 44 classes of 22 distinct fruit and vegetable types, named Freshness44. The NoisyViT architecture was further expanded into a multi-task configuration featuring two parallel classification heads: one for freshness detection (binary classification) and the other for fruit and vegetable type classification (22-class classification). The multi-task NoisyViT model, fine-tuned on the Freshness44 dataset, attained outstanding accuracies of 99.60% for freshness detection and 99.86% for type classification, surpassing the single-head NoisyViT model (99.59% accuracy), conventional machine learning and CNN-based state-of-the-art methodologies. In practical terms, such a system can be deployed across supply chains, retail settings, or consumer applications to enable real-time, automated monitoring of fruit and vegetable quality. Overall, the findings underscore the effectiveness of the proposed multi-task NoisyViT model combined with the Freshness44 dataset, presenting a robust and scalable solution for the assessment of fruit and vegetable freshness. © 2025 by the authors.","computer vision; fruit and vegetable freshness detection; fruit freshness detection; multi-task learning; personal healthcare; sensor-based classification; vision transformer","Algorithms; Artificial Intelligence; Fruit; Humans; Machine Learning; Vegetables; Classification (of information); Fruits; Learning systems; Multi-task learning; Quality control; Supply chains; Vegetables; Fruit and vegetable freshness detection; Fruit and vegetables; Fruit freshness detection; Multi tasks; Multitask learning; Personal health care; Sensor-based classification; Transformer modeling; Type classifications; Vision transformer; algorithm; artificial intelligence; classification; fruit; human; machine learning; vegetable; Computer vision","","","Multidisciplinary Digital Publishing Institute (MDPI)","41094780","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105018892595"
